"Data e HoraObservação","QNH (hPa)","QFE (hPa)","QFF (hPa)","Tendência da Pressão(conforme ICA 105-16)","Alt850hpa"
"09/11/2023 - 09:00:00","1010,2","1000,9","1009,9","2","-"
"09/11/2023 - 10:00:00","1011,9","1002,6","-","-","-"
"09/11/2023 - 11:00:00","1013,2","1003,9","-","-","-"
"09/11/2023 - 12:00:00","1013,2","1003,9","1013,0","1","-"
"09/11/2023 - 13:00:00","1013,6","1004,3","-","-","-"
"09/11/2023 - 14:00:00","1013,8","1004,5","-","-","-"
"09/11/2023 - 15:00:00","1013,2","1003,9","1013,0","0","-"
"09/11/2023 - 16:00:00","1012,9","1003,6","-","-","-"
"09/11/2023 - 17:00:00","1011,9","1002,6","-","-","-"
"09/11/2023 - 18:00:00","1011,6","1002,3","1011,4","6","-"
"09/11/2023 - 19:00:00","1011,3","1002,0","-","-","-"
"09/11/2023 - 20:00:00","1010,8","1001,5","-","-","-"
"09/11/2023 - 21:00:00","1010,2","1000,9","1010,0","7","-"
"09/11/2023 - 22:00:00","1009,9","1000,6","-","-","-"
"10/11/2023 - 09:00:00","1010,2","1000,9","1010,0","3","-"
"10/11/2023 - 10:00:00","1010,8","1001,5","-","-","-"
"10/11/2023 - 11:00:00","1010,7","1001,4","-","-","-"
"10/11/2023 - 12:00:00","1010,4","1001,1","1010,2","0","-"
"10/11/2023 - 13:00:00","1009,8","1000,5","-","-","-"
"10/11/2023 - 14:00:00","1008,4","999,1","-","-","-"
"10/11/2023 - 15:00:00","1007,8","998,5","1007,6","7","-"
"10/11/2023 - 16:00:00","1006,7","997,4","-","-","-"
"10/11/2023 - 17:00:00","1006,5","997,2","-","-","-"
"10/11/2023 - 18:00:00","1004,2","994,9","1003,9","8","-"
"10/11/2023 - 19:00:00","1002,9","993,7","-","-","-"
"10/11/2023 - 20:00:00","1002,0","992,8","-","-","-"
"10/11/2023 - 21:00:00","1001,9","992,7","1001,7","6","-"
"10/11/2023 - 22:00:00","1001,6","992,4","-","-","-"
"11/11/2023 - 09:00:00","997,8","988,6","997,4","5","-"
"11/11/2023 - 10:00:00","1000,0","990,8","-","-","-"
"11/11/2023 - 11:00:00","1001,0","991,8","-","-","-"
"11/11/2023 - 12:00:00","1002,7","993,5","1002,5","2","-"
"11/11/2023 - 13:00:00","1002,8","993,6","-","-","-"
"11/11/2023 - 14:00:00","1002,4","993,2","-","-","-"
"11/11/2023 - 15:00:00","1002,2","993,0","1001,9","7","-"
"11/11/2023 - 16:00:00","1001,4","992,2","-","-","-"
"11/11/2023 - 17:00:00","1000,7","991,5","-","-","-"
"11/11/2023 - 18:00:00","1002,2","993,0","1001,8","-","-"
"11/11/2023 - 19:00:00","999,9","990,7","-","-","-"
"11/11/2023 - 20:00:00","999,7","990,5","-","-","-"
"11/11/2023 - 21:00:00","999,9","990,7","999,2","6","-"
"11/11/2023 - 22:00:00","1000,6","991,4","-","-","-"
"12/11/2023 - 09:00:00","998,9","989,7","998,4","5","-"
"12/11/2023 - 10:00:00","1000,8","991,6","-","-","-"
"12/11/2023 - 11:00:00","1001,2","992,0","-","-","-"
"12/11/2023 - 12:00:00","1001,7","992,5","1001,4","1","-"
"12/11/2023 - 12:32:00","1004,6","995,3","-","-","-"
"12/11/2023 - 13:00:00","1005,3","996,0","-","-","-"
"12/11/2023 - 13:33:00","1005,2","995,9","-","-","-"
"12/11/2023 - 14:00:00","1004,1","994,8","-","-","-"
"12/11/2023 - 15:00:00","1004,4","995,1","1004,0","1","-"
"12/11/2023 - 16:00:00","1005,0","995,7","-","-","-"
"12/11/2023 - 17:00:00","1004,5","995,2","-","-","-"
"12/11/2023 - 18:00:00","1003,5","994,2","1003,1","0","-"
"12/11/2023 - 19:00:00","1002,2","993,0","-","-","-"
"12/11/2023 - 19:39:00","1003,2","994,0","-","-","-"
"12/11/2023 - 20:00:00","1003,0","993,8","-","-","-"
"12/11/2023 - 21:00:00","1003,2","994,0","1002,9","1","-"
"12/11/2023 - 22:00:00","1004,3","995,0","-","-","-"
"13/11/2023 - 09:00:00","1004,5","995,2","1004,2","0","-"
"13/11/2023 - 10:00:00","1006,0","996,7","-","-","-"
"13/11/2023 - 11:00:00","1007,1","997,8","-","-","-"
"13/11/2023 - 12:00:00","1008,1","998,8","1007,9","2","-"
"13/11/2023 - 13:00:00","1009,8","1000,5","-","-","-"
"13/11/2023 - 14:00:00","1009,6","1000,3","-","-","-"
"13/11/2023 - 15:00:00","1009,0","999,7","1008,8","0","-"
"13/11/2023 - 16:00:00","1009,5","1000,2","-","-","-"
"13/11/2023 - 17:00:00","1008,8","999,5","-","-","-"
"13/11/2023 - 18:00:00","1007,7","998,4","1007,4","8","-"
"13/11/2023 - 19:00:00","1007,3","998,0","-","-","-"
"13/11/2023 - 20:00:00","1007,0","997,7","-","-","-"
"13/11/2023 - 21:00:00","1007,3","998,0","1007,1","5","-"
"13/11/2023 - 22:00:00","1007,7","998,4","-","-","-"
"14/11/2023 - 09:00:00","1008,2","998,9","1008,0","3","-"
"14/11/2023 - 10:00:00","1008,7","999,4","-","-","-"
"14/11/2023 - 11:00:00","1009,8","1000,5","-","-","-"
"14/11/2023 - 12:00:00","1009,2","999,9","1009,0","0","-"
"14/11/2023 - 13:00:00","1008,8","999,5","-","-","-"
"14/11/2023 - 13:39:00","1008,6","999,3","-","-","-"
"14/11/2023 - 14:00:00","1008,4","999,1","-","-","-"
"14/11/2023 - 15:00:00","1008,9","999,6","1008,6","5","-"
"14/11/2023 - 16:00:00","1008,6","999,3","-","-","-"
"14/11/2023 - 17:00:00","1008,4","999,1","-","-","-"
"14/11/2023 - 18:00:00","1007,7","998,4","1007,4","8","-"
"14/11/2023 - 19:00:00","1007,1","997,8","-","-","-"
"14/11/2023 - 20:00:00","1006,7","997,4","-","-","-"
"14/11/2023 - 21:00:00","1006,7","997,4","1006,5","6","-"
"14/11/2023 - 22:00:00","1007,6","998,3","-","-","-"
"15/11/2023 - 09:00:00","1006,2","996,9","1006,0","5","-"
"15/11/2023 - 10:00:00","1006,4","997,1","-","-","-"
"15/11/2023 - 11:00:00","1005,9","996,6","-","-","-"
"15/11/2023 - 11:43:00","1006,7","997,4","-","-","-"
"15/11/2023 - 12:00:00","1006,3","997,0","1006,1","0","-"
"15/11/2023 - 12:39:00","1005,9","996,6","-","-","-"
"15/11/2023 - 13:00:00","1005,9","996,6","-","-","-"
"15/11/2023 - 14:00:00","1005,6","996,3","-","-","-"
"15/11/2023 - 15:00:00","1005,4","996,1","1005,2","7","-"
"15/11/2023 - 16:00:00","1004,7","995,4","-","-","-"
"15/11/2023 - 17:00:00","1004,1","994,8","-","-","-"
"15/11/2023 - 18:00:00","1003,2","994,0","1003,1","7","-"
"15/11/2023 - 19:00:00","1002,8","993,6","-","-","-"
"15/11/2023 - 20:00:00","1002,3","993,1","-","-","-"
"15/11/2023 - 21:00:00","1002,4","993,2","1002,2","5","-"
"15/11/2023 - 22:00:00","1003,1","993,9","-","-","-"
"16/11/2023 - 09:00:00","1003,3","994,1","1003,1","5","-"
"16/11/2023 - 10:00:00","1004,7","995,4","-","-","-"
"16/11/2023 - 11:00:00","1006,5","997,2","-","-","-"
"16/11/2023 - 12:00:00","1007,6","998,3","1007,3","2","-"
"16/11/2023 - 13:00:00","1007,1","997,8","-","-","-"
"16/11/2023 - 14:00:00","1006,9","997,6","-","-","-"
"16/11/2023 - 15:00:00","1006,7","997,4","1006,4","7","-"
"16/11/2023 - 16:00:00","1005,9","996,6","-","-","-"
"16/11/2023 - 17:00:00","1004,9","995,6","-","-","-"
"16/11/2023 - 18:00:00","1005,0","995,7","1004,7","7","-"
"16/11/2023 - 19:00:00","1004,2","994,9","-","-","-"
"16/11/2023 - 20:00:00","1003,6","994,3","-","-","-"
"16/11/2023 - 21:00:00","1003,8","994,5","1003,5","6","-"
"16/11/2023 - 22:00:00","1004,2","994,9","-","-","-"
"17/11/2023 - 09:00:00","1001,1","991,9","1000,8","5","-"
"17/11/2023 - 10:00:00","1001,9","992,7","-","-","-"
"17/11/2023 - 11:00:00","1001,9","992,7","-","-","-"
"17/11/2023 - 12:00:00","1001,6","992,4","1001,4","8","-"
"17/11/2023 - 13:00:00","1001,5","992,3","-","-","-"
"17/11/2023 - 14:00:00","1001,7","992,5","-","-","-"
"17/11/2023 - 15:00:00","1001,2","992,0","1000,9","8","-"
"17/11/2023 - 16:00:00","1000,2","991,0","-","-","-"
"17/11/2023 - 17:00:00","999,3","990,1","-","-","-"
"17/11/2023 - 18:00:00","998,7","989,5","998,4","7","-"
"17/11/2023 - 19:00:00","997,6","988,4","-","-","-"
"17/11/2023 - 20:00:00","996,4","987,2","-","-","-"
"17/11/2023 - 21:00:00","996,5","987,3","996,2","5","-"
"17/11/2023 - 22:00:00","997,1","987,9","-","-","-"
"18/11/2023 - 09:00:00","1000,1","990,9","999,8","2","-"
"18/11/2023 - 10:00:00","1003,0","993,8","-","-","-"
"18/11/2023 - 11:00:00","1005,9","996,6","-","-","-"
"18/11/2023 - 12:00:00","1005,3","996,0","1005,0","0","-"
"18/11/2023 - 13:00:00","1004,7","995,4","-","-","-"
"18/11/2023 - 14:00:00","1005,3","996,0","-","-","-"
"18/11/2023 - 15:00:00","1006,3","997,0","1006,0","3","-"
"18/11/2023 - 16:00:00","1006,8","997,5","-","-","-"
"18/11/2023 - 17:00:00","1007,3","998,0","-","-","-"
"18/11/2023 - 18:00:00","1007,5","998,2","1007,2","2","-"
"18/11/2023 - 19:00:00","1007,6","998,3","-","-","-"
"18/11/2023 - 20:00:00","1007,9","998,6","-","-","-"
"18/11/2023 - 21:00:00","1008,7","999,4","1008,4","2","-"
"18/11/2023 - 22:00:00","1009,5","1000,2","-","-","-"
"19/11/2023 - 09:00:00","1014,4","1005,0","1014,2","3","-"
"19/11/2023 - 10:00:00","1015,7","1006,3","-","-","-"
"19/11/2023 - 11:00:00","1016,2","1006,8","-","-","-"
"19/11/2023 - 12:00:00","1016,3","1006,9","1016,1","1","-"
"19/11/2023 - 13:00:00","1016,8","1007,4","-","-","-"
"19/11/2023 - 14:00:00","1016,2","1006,8","-","-","-"
"19/11/2023 - 15:00:00","1015,7","1006,3","1015,5","0","-"
"19/11/2023 - 16:00:00","1015,6","1006,2","-","-","-"
"19/11/2023 - 17:00:00","1015,2","1005,8","-","-","-"
"19/11/2023 - 18:00:00","1015,0","1005,6","1014,8","7","-"
"19/11/2023 - 19:00:00","1014,4","1005,0","-","-","-"
"19/11/2023 - 20:00:00","1013,9","1004,6","-","-","-"
"19/11/2023 - 21:00:00","1014,0","1004,7","1013,9","6","-"
"19/11/2023 - 23:45:00","1013,9","1004,6","-","-","-"
"20/11/2023 - 00:00:00","1013,8","1004,5","1013,6","7","-"
"20/11/2023 - 09:00:00","1013,0","1003,7","1012,8","5","-"
"20/11/2023 - 10:00:00","1013,3","1004,0","-","-","-"
"20/11/2023 - 11:00:00","1013,6","1004,3","-","-","-"
"20/11/2023 - 12:00:00","1013,6","1004,3","1013,4","2","-"
"20/11/2023 - 13:00:00","1012,9","1003,6","-","-","-"
"20/11/2023 - 14:00:00","1012,3","1003,0","-","-","-"
"20/11/2023 - 15:00:00","1011,4","1002,1","1011,1","7","-"
"20/11/2023 - 16:00:00","1010,3","1001,0","-","-","-"
"20/11/2023 - 17:00:00","1009,4","1000,1","-","-","-"
"20/11/2023 - 18:00:00","1008,6","999,3","1008,3","7","-"
"20/11/2023 - 19:00:00","1007,8","998,5","-","-","-"
"20/11/2023 - 20:00:00","1007,3","998,0","-","-","-"
"20/11/2023 - 21:00:00","1007,0","997,7","1006,7","7","-"
"20/11/2023 - 22:00:00","1007,3","998,0","-","-","-"
"21/11/2023 - 09:00:00","1007,4","998,1","1007,0","2","-"
"21/11/2023 - 10:00:00","1008,0","998,7","-","-","-"
"21/11/2023 - 11:00:00","1008,3","999,0","-","-","-"
"21/11/2023 - 12:00:00","1008,6","999,3","1008,3","2","-"
"21/11/2023 - 13:00:00","1008,4","999,1","-","-","-"
"21/11/2023 - 14:00:00","1008,1","998,8","-","-","-"
"21/11/2023 - 15:00:00","1007,2","997,9","1006,8","8","-"
"21/11/2023 - 16:00:00","1006,2","996,9","-","-","-"
"21/11/2023 - 17:00:00","1005,3","996,0","-","-","-"
"21/11/2023 - 18:00:00","1003,9","994,6","1003,5","7","-"
"21/11/2023 - 19:00:00","1002,6","993,4","-","-","-"
"21/11/2023 - 20:00:00","1002,0","992,8","-","-","-"
"21/11/2023 - 21:00:00","1001,3","992,1","1001,0","7","-"
"21/11/2023 - 22:00:00","1002,3","993,1","-","-","-"
"22/11/2023 - 09:00:00","1006,3","997,0","1005,9","0","-"
"22/11/2023 - 09:10:00","1006,0","996,7","-","-","-"
"22/11/2023 - 09:33:00","1006,4","997,1","-","-","-"
"22/11/2023 - 10:00:00","1006,4","997,1","-","-","-"
"22/11/2023 - 11:00:00","1008,2","998,9","-","-","-"
"22/11/2023 - 11:38:00","1008,7","999,4","-","-","-"
"22/11/2023 - 12:00:00","1009,1","999,8","1008,8","3","-"
"22/11/2023 - 12:41:00","1009,5","1000,2","-","-","-"
"22/11/2023 - 13:00:00","1009,7","1000,4","-","-","-"
"22/11/2023 - 13:43:00","1009,7","1000,4","-","-","-"
"22/11/2023 - 14:00:00","1010,3","1001,0","-","-","-"
"22/11/2023 - 15:00:00","1008,9","999,6","1008,7","0","-"
"22/11/2023 - 16:00:00","1007,3","998,0","-","-","-"
"22/11/2023 - 17:00:00","1008,2","998,9","-","-","-"
"22/11/2023 - 18:00:00","1008,0","998,7","1007,7","1","-"
"22/11/2023 - 19:00:00","1008,3","999,0","-","-","-"
"22/11/2023 - 20:00:00","1009,1","999,8","-","-","-"
"22/11/2023 - 21:00:00","1010,1","1000,8","1009,9","2","-"
"22/11/2023 - 22:00:00","1010,8","1001,5","-","-","-"
"23/11/2023 - 09:00:00","1014,2","1004,9","1014,1","3","-"
"23/11/2023 - 10:00:00","1015,1","1005,7","-","-","-"
"23/11/2023 - 10:46:00","1016,0","1006,6","-","-","-"
"23/11/2023 - 11:00:00","1016,2","1006,8","-","-","-"
"23/11/2023 - 12:00:00","1017,0","1007,6","1016,8","2","-"
"23/11/2023 - 13:00:00","1017,6","1008,2","-","-","-"
"23/11/2023 - 13:36:00","1018,0","1008,6","-","-","-"
"23/11/2023 - 14:00:00","1017,4","1008,0","-","-","-"
"23/11/2023 - 15:00:00","1017,7","1008,3","1017,5","4","-"
"23/11/2023 - 16:00:00","1017,6","1008,2","-","-","-"
"23/11/2023 - 17:00:00","1017,4","1008,0","-","-","-"
"23/11/2023 - 18:00:00","1017,1","1007,7","1016,8","7","-"
"23/11/2023 - 19:00:00","1016,7","1007,3","-","-","-"
"23/11/2023 - 20:00:00","1016,5","1007,1","-","-","-"
"23/11/2023 - 21:00:00","1016,6","1007,2","1016,3","5","-"
"23/11/2023 - 22:00:00","1017,1","1007,7","-","-","-"
"24/11/2023 - 09:00:00","1021,4","1012,0","1021,2","2","-"
"24/11/2023 - 10:00:00","1022,1","1012,7","-","-","-"
"24/11/2023 - 11:00:00","1022,6","1013,2","-","-","-"
"24/11/2023 - 12:00:00","1023,1","1013,7","1022,9","2","-"
"24/11/2023 - 14:00:00","1023,1","1013,7","-","-","-"
"24/11/2023 - 15:00:00","1023,0","1013,6","1022,7","8","-"
"24/11/2023 - 16:00:00","1022,6","1013,2","-","-","-"
"24/11/2023 - 17:00:00","1022,3","1012,9","-","-","-"
"24/11/2023 - 18:00:00","1021,2","1011,8","1021,0","7","-"
"24/11/2023 - 19:00:00","1020,6","1011,2","-","-","-"
"24/11/2023 - 20:00:00","1019,8","1010,4","-","-","-"
"24/11/2023 - 21:00:00","1019,8","1010,4","1019,5","6","-"
"24/11/2023 - 22:00:00","1019,4","1010,0","-","-","-"
"25/11/2023 - 09:00:00","1020,0","1010,6","1019,8","3","-"
"25/11/2023 - 10:00:00","1020,1","1010,7","-","-","-"
"25/11/2023 - 11:00:00","1020,3","1010,9","-","-","-"
"25/11/2023 - 12:00:00","1020,0","1010,6","1019,8","0","-"
"25/11/2023 - 13:00:00","1019,5","1010,1","-","-","-"
"25/11/2023 - 14:00:00","1018,9","1009,5","-","-","-"
"25/11/2023 - 15:00:00","1018,1","1008,7","1017,9","7","-"
"25/11/2023 - 16:00:00","1017,0","1007,6","-","-","-"
"25/11/2023 - 17:00:00","1016,2","1006,8","-","-","-"
"25/11/2023 - 18:00:00","1015,2","1005,8","1014,9","7","-"
"25/11/2023 - 19:00:00","1014,9","1005,5","-","-","-"
"25/11/2023 - 20:00:00","1014,7","1005,3","-","-","-"
"25/11/2023 - 21:00:00","1014,0","1004,7","1013,9","7","-"
"25/11/2023 - 22:00:00","1013,8","1004,5","-","-","-"
"26/11/2023 - 09:00:00","1014,2","1004,9","1014,0","3","-"
"26/11/2023 - 10:00:00","1014,5","1005,1","-","-","-"
"26/11/2023 - 11:00:00","1015,0","1005,6","-","-","-"
"26/11/2023 - 12:00:00","1015,0","1005,6","1014,8","1","-"
"26/11/2023 - 13:00:00","1014,8","1005,4","-","-","-"
"26/11/2023 - 14:00:00","1014,6","1005,2","-","-","-"
"26/11/2023 - 15:00:00","1014,2","1004,9","1014,1","7","-"
"26/11/2023 - 16:00:00","1013,6","1004,3","-","-","-"
"26/11/2023 - 17:00:00","1012,9","1003,6","-","-","-"
"26/11/2023 - 18:00:00","1012,2","1002,9","1011,9","7","-"
"26/11/2023 - 19:00:00","1011,3","1002,0","-","-","-"
"26/11/2023 - 20:00:00","1010,6","1001,3","-","-","-"
"26/11/2023 - 21:00:00","1010,5","1001,2","1010,2","6","-"
"26/11/2023 - 22:00:00","1011,0","1001,7","-","-","-"
"27/11/2023 - 09:00:00","1012,3","1003,0","1012,0","3","-"
"27/11/2023 - 10:00:00","1012,9","1003,6","-","-","-"
"27/11/2023 - 11:00:00","1013,6","1004,3","-","-","-"
"27/11/2023 - 12:00:00","1013,8","1004,5","1013,5","1","-"
"27/11/2023 - 13:00:00","1013,9","1004,6","-","-","-"
"27/11/2023 - 14:00:00","1013,8","1004,5","-","-","-"
"27/11/2023 - 15:00:00","1014,0","1004,7","1013,7","3","-"
"27/11/2023 - 15:22:00","1013,8","1004,5","-","-","-"
"27/11/2023 - 16:00:00","1013,7","1004,4","-","-","-"
"27/11/2023 - 17:00:00","1013,3","1004,0","-","-","-"
"27/11/2023 - 18:00:00","1012,8","1003,5","1012,5","7","-"
"27/11/2023 - 19:00:00","1012,2","1002,9","-","-","-"
"27/11/2023 - 20:00:00","1012,0","1002,7","-","-","-"
"27/11/2023 - 21:00:00","1011,8","1002,5","1011,5","7","-"
"27/11/2023 - 22:00:00","1012,4","1003,1","-","-","-"
"28/11/2023 - 09:00:00","1011,6","1002,3","1011,4","3","-"
"28/11/2023 - 10:00:00","1011,4","1002,1","-","-","-"
"28/11/2023 - 11:00:00","1011,7","1002,4","-","-","-"
"28/11/2023 - 12:00:00","1011,6","1002,3","1011,3","1","-"
"28/11/2023 - 13:00:00","1011,6","1002,3","-","-","-"
"28/11/2023 - 14:00:00","1011,4","1002,1","-","-","-"
"28/11/2023 - 15:00:00","1010,6","1001,3","1010,3","8","-"
"28/11/2023 - 16:00:00","1009,9","1000,6","-","-","-"
"28/11/2023 - 17:00:00","1009,2","999,9","-","-","-"
"28/11/2023 - 18:00:00","1008,5","999,2","1008,2","7","-"
"28/11/2023 - 19:00:00","1007,8","998,5","-","-","-"
"28/11/2023 - 20:00:00","1007,2","997,9","-","-","-"
"28/11/2023 - 21:00:00","1007,3","998,0","1007,0","6","-"
